,Ticker,Name,Last Sale,Net Change,Percent Change,Market Cap
1761,MANU,Manchester United Ltd. Class A Ordinary Shares,$13.77,0.03,0.218%,"2,331,505,665"
1762,WMK,"Weis Markets, Inc. Common Stock",$86.58,0.59,0.686%,"2,328,867,195"
1763,ENVA,"Enova International, Inc. Common Stock",$91.60,-0.19,-0.207%,"2,323,596,132"
1764,CHEF,"The Chefs' Warehouse, Inc. Common Stock",$57.625,0.655,1.15%,"2,320,440,504"
1765,APPN,Appian Corporation Class A Common Stock,$31.33,0.28,0.902%,"2,319,833,328"
1766,VCYT,"Veracyte, Inc. Common Stock",$29.71,-0.79,-2.59%,"2,315,739,176"
1767,ASH,Ashland Inc. Common Stock,$49.03,-5.36,-9.855%,"2,313,375,724"
1768,HUN,Huntsman Corporation Common Stock,$13.37,0.06,0.451%,"2,312,793,981"
1769,SG,"Sweetgreen, Inc. Class A Common Stock",$19.68,0.20,1.027%,"2,308,527,252"
1770,POWL,"Powell Industries, Inc. Common Stock",$191.13,8.02,4.38%,"2,305,930,507"
1771,RNG,"RingCentral, Inc. Class A Common Stock",$25.38,-0.12,-0.471%,"2,302,520,984"
1772,HSAI,"Hesai Group American Depositary Share, each ADS represents one Class B ordinary share",$17.35,-1.46,-7.762%,"2,298,313,970"
1773,RXO,"RXO, Inc. Common Stock",$14.07,-0.02,-0.142%,"2,298,020,866"
1774,UE,Urban Edge Properties Common Shares of Beneficial Interest,$18.31,0.24,1.328%,"2,297,171,977"
1775,BHVN,Biohaven Ltd. Common Shares,$22.45,0.33,1.492%,"2,291,123,503"
1776,YELP,Yelp Inc. Common Stock,$35.16,0.08,0.228%,"2,286,566,503"
1777,PTEN,"Patterson-UTI Energy, Inc. Common Stock",$5.86,0.22,3.901%,"2,261,883,972"
1778,NYMTI,"New York Mortgage Trust, Inc. 9.125% Senior Notes Due 2029",$24.945,0.085,0.342%,"2,259,504,355"
1779,UEC,Uranium Energy Corp. Common Stock,$5.27,0.02,0.381%,"2,259,415,595"
1780,TWST,Twist Bioscience Corporation Common Stock,$37.71,-0.61,-1.592%,"2,249,444,565"
1781,FORM,"FormFactor, Inc. FormFactor, Inc. Common Stock",$28.97,0.83,2.95%,"2,247,082,008"
1782,IOSP,Innospec Inc. Common Stock,$90.02,0.54,0.603%,"2,246,868,503"
1783,NYMTM,"New York Mortgage Trust, Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",$24.78,0.17,0.691%,"2,244,261,287"
1784,KYMR,"Kymera Therapeutics, Inc. Common Stock",$34.55,0.28,0.817%,"2,243,819,899"
1785,FFBC,First Financial Bancorp. Common Stock,$23.34,0.19,0.821%,"2,227,190,372"
1786,BFH,"Bread Financial Holdings, Inc. Common Stock",$47.79,0.34,0.717%,"2,224,585,312"
1787,ATKR,Atkore Inc. Common Stock,$64.59,0.72,1.127%,"2,221,813,066"
1788,CENT,Central Garden & Pet Company Common Stock,$33.91,0.35,1.043%,"2,221,342,336"
1789,CWK,Cushman & Wakefield plc Ordinary Shares,$9.60,0.23,2.455%,"2,220,359,251"
1790,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,$3.71,UNCH,--,"2,217,465,464"
1791,SSL,Sasol Ltd. American Depositary Shares,$3.45,-0.03,-0.862%,"2,215,395,962"
1792,SID,Companhia Siderurgica Nacional S.A. Common Stock,$1.67,-0.01,-0.595%,"2,214,576,891"
1793,ASGN,ASGN Incorporated Common Stock,$50.71,0.33,0.655%,"2,210,956,000"
1794,RXRX,"Recursion Pharmaceuticals, Inc. Class A Common Stock",$5.50,-0.09,-1.61%,"2,210,948,680"
1795,SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,$56.16,0.50,0.898%,"2,200,719,063"
1796,DV,"DoubleVerify Holdings, Inc. Common Stock",$13.25,-0.01,-0.075%,"2,199,655,356"
1797,NAMS,NewAmsterdam Pharma Company N.V. Ordinary Shares,$20.03,0.90,4.705%,"2,199,650,774"
1798,PSNY,Polestar Automotive Holding UK PLC Class A ADS,$1.03,-0.01,-0.962%,"2,199,266,597"
1799,EPAC,Enerpac Tool Group Corp. Common Stock,$40.65,0.28,0.694%,"2,198,551,754"
1800,QS,QuantumScape Corporation Class A Common Stock,$3.92,0.01,0.256%,"2,190,991,029"
1801,AAPG,Ascentage Pharma Group International American Depository Shares,$25.15,0.72,2.947%,"2,189,726,122"
1802,PMTU,PennyMac Mortgage Investment Trust 8.50% Senior Notes due 2028,$25.17,-0.16,-0.632%,"2,186,290,363"
1803,ECG,"Everus Construction Group, Inc. Common Stock",$42.84,2.60,6.461%,"2,184,806,928"
1804,IVT,InvenTrust Properties Corp. Common Stock,$28.18,0.32,1.149%,"2,182,830,578"
1805,MEOH,Methanex Corporation Common Stock,$32.37,1.08,3.452%,"2,181,583,012"
1806,HPH,Highest Performances Holdings Inc. American Depository Shares,$5.85,-5.60,-48.908%,"2,179,403,097"
1807,PFS,"Provident Financial Services, Inc Common Stock",$16.69,0.32,1.955%,"2,177,869,638"
1808,AGX,"Argan, Inc. Common Stock",$158.80,5.67,3.703%,"2,165,113,183"
1809,VC,Visteon Corporation Common Stock,$79.39,0.20,0.253%,"2,164,031,515"
1810,EVTC,"Evertec, Inc. Common Stock",$34.00,0.06,0.177%,"2,162,878,618"
1811,SYBT,"Stock Yards Bancorp, Inc. Common Stock",$73.33,0.54,0.742%,"2,158,655,761"
1812,NWL,Newell Brands Inc. Common Stock,$5.17,0.39,8.159%,"2,151,754,000"
1813,BANR,Banner Corporation Common Stock,$62.40,1.26,2.061%,"2,150,293,517"
1814,SKWD,"Skyward Specialty Insurance Group, Inc. Common Stock",$53.57,0.48,0.904%,"2,149,652,032"
1815,GDV,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,$23.74,0.20,0.85%,"2,141,074,776"
1816,MLCO,Melco Resorts & Entertainment Limited American Depositary Shares,$5.03,-0.12,-2.33%,"2,140,332,709"
1817,CERT,"Certara, Inc. Common Stock",$13.29,-0.57,-4.113%,"2,139,926,230"
1818,MIRM,"Mirum Pharmaceuticals, Inc. Common Stock",$43.42,-0.03,-0.069%,"2,128,196,130"
1819,BANC,"Banc of California, Inc. Common Stock",$13.39,-0.09,-0.668%,"2,126,759,462"
1820,IBRX,"ImmunityBio, Inc. Common Stock",$2.49,-0.02,-0.797%,"2,125,070,921"
1821,ACHC,"Acadia Healthcare Company, Inc. Common Stock",$22.78,-0.62,-2.65%,"2,116,559,097"
1822,CGON,"CG Oncology, Inc. Common stock",$27.74,0.80,2.97%,"2,114,255,558"
1823,JOYY,JOYY Inc. American Depositary Shares,$40.85,-0.31,-0.753%,"2,112,843,373"
1824,HTZ,"Hertz Global Holdings, Inc Common Stock",$6.85,0.03,0.44%,"2,101,811,694"
1825,LGND,Ligand Pharmaceuticals Incorporated Common Stock,$109.15,-0.71,-0.646%,"2,101,721,780"
1826,ABR,Arbor Realty Trust Common Stock,$11.08,-0.45,-3.903%,"2,099,720,076"
1827,HWCPZ,Hancock Whitney Corporation 6.25% Subordinated Notes due 2060,$24.37,0.93,3.968%,"2,098,914,283"
1828,SAH,"Sonic Automotive, Inc. Common Stock",$61.78,1.06,1.746%,"2,098,110,209"
1829,DGNX,Diginex Limited Ordinary Shares,$90.20,1.41,1.588%,"2,092,004,090"
1830,DKL,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",$38.98,-0.27,-0.688%,"2,091,960,047"
1831,SSII,SS Innovations International Inc. Common Stock,$10.805,-0.085,-0.781%,"2,091,408,669"
1832,GTX,Garrett Motion Inc. Common Stock,$10.20,0.98,10.629%,"2,091,099,970"
1833,AGYS,"Agilysys, Inc. Common Stock (DE)",$74.30,-0.05,-0.067%,"2,077,724,308"
1834,ROOT,"Root, Inc. Class A Common Stock",$136.63,-3.04,-2.177%,"2,076,776,000"
1835,LMND,"Lemonade, Inc. Common Stock",$28.51,-0.71,-2.43%,"2,076,100,481"
1836,CMBT,CMB.TECH NV Ordinary Shares,$9.43,-0.08,-0.841%,"2,074,833,044"
1837,TRMK,Trustmark Corporation Common Stock,$34.08,0.53,1.58%,"2,070,880,436"
1838,RIG,Transocean Ltd (Switzerland) Common Stock,$2.34,0.21,9.859%,"2,066,831,807"
1839,QVCGB,"QVC Group, Inc. Series B Common Stock",$5.18,-0.38,-6.835%,"2,064,656,563"
1840,DFH,"Dream Finders Homes, Inc. Class A Common Stock",$22.09,-0.57,-2.515%,"2,064,023,352"
1841,MQ,"Marqeta, Inc. Class A Common Stock",$4.09,-0.09,-2.153%,"2,062,675,209"
1842,LION,Lionsgate Studios Corp. Common Shares,$7.14,-0.17,-2.326%,"2,061,183,939"
1843,SFB,Stifel Financial Corporation 5.20% Senior Notes due 2047,$19.86,0.01,0.05%,"2,060,574,201"
1844,RNST,Renasant Corporation Common Stock,$32.34,0.27,0.842%,"2,058,681,739"
1845,SBCF,Seacoast Banking Corporation of Florida Common Stock,$23.96,0.25,1.054%,"2,051,266,779"
1846,NATL,NCR Atleos Corporation Common Stock,$28.07,0.15,0.537%,"2,050,279,789"
1847,TDC,Teradata Corporation Common Stock,$21.64,0.14,0.651%,"2,047,144,000"
1848,AMBA,"Ambarella, Inc. Ordinary Shares",$48.16,0.17,0.354%,"2,043,785,666"
1849,ALG,"Alamo Group, Inc. Common Stock",$169.32,2.34,1.401%,"2,042,586,402"
1850,SSRM,SSR Mining Inc. Common Stock,$10.06,-0.58,-5.451%,"2,036,005,021"
1851,LMAT,"LeMaitre Vascular, Inc. Common Stock",$90.24,-0.50,-0.551%,"2,035,690,861"
1852,QBTS,D-Wave Quantum Inc. Common Shares,$6.98,0.07,1.013%,"2,033,611,302"
1853,PK,Park Hotels & Resorts Inc. Common Stock,$10.04,0.10,1.006%,"2,028,531,087"
1854,FINV,FinVolution Group American Depositary Shares,$7.99,0.08,1.011%,"2,024,776,749"
1855,KNSA,"Kiniksa Pharmaceuticals International, plc Class A Ordinary Shares",$27.74,0.77,2.855%,"2,024,214,625"
1856,FBK,FB Financial Corporation Common Stock,$43.29,0.73,1.715%,"2,020,698,196"
1857,NBTB,NBT Bancorp Inc. Common Stock,$42.51,0.17,0.402%,"2,008,758,698"
1858,BB,BlackBerry Limited Common Stock,$3.37,-0.03,-0.882%,"2,008,520,000"
1859,CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,$24.94,-0.266,-1.055%,"2,008,435,558"
1860,UZD,United States Cellular Corporation 6.250% Senior Notes due 2069,$23.60,UNCH,--,"2,006,000,000"
1861,PPBI,Pacific Premier Bancorp Inc,$20.79,0.45,2.212%,"2,004,941,425"
1862,FOLD,"Amicus Therapeutics, Inc. Common Stock",$6.68,-1.00,-13.021%,"2,004,775,421"
1863,WSBC,"WesBanco, Inc. Common Stock",$29.93,0.15,0.504%,"2,003,601,356"
1864,BTDR,Bitdeer Technologies Group Class A Ordinary Shares,$10.18,0.61,6.374%,"2,002,875,797"
1865,NVCR,NovoCure Limited Ordinary Shares,$17.95,-0.19,-1.047%,"2,001,167,130"
1866,LIVN,LivaNova PLC Ordinary Shares,$36.79,-0.21,-0.568%,"1,999,601,434"
1867,BLTE,"Belite Bio, Inc American Depositary Shares",$61.90,0.42,0.683%,"1,998,241,130"
1868,VAC,Marriott Vacations Worldwide Corporation Common Stock,$57.20,2.39,4.361%,"1,996,884,776"
1869,MAN,ManpowerGroup Common Stock,$42.72,-0.35,-0.813%,"1,994,690,912"
1870,TRN,"Trinity Industries, Inc. Common Stock",$24.38,-0.72,-2.869%,"1,994,025,353"
1871,WRBY,Warby Parker Inc. Class A Common Stock,$16.48,-0.03,-0.182%,"1,991,753,172"
1872,AIR,AAR Corp. Common Stock,$55.10,1.64,3.068%,"1,989,319,490"
1873,LCII,LCI Industries,$78.10,1.02,1.323%,"1,988,678,029"
1874,HNI,HNI Corporation Common Stock,$42.19,-0.11,-0.26%,"1,983,574,959"
1875,WB,Weibo Corporation American Depositary Share,$8.10,UNCH,--,"1,983,084,768"
1876,ZGN,Ermenegildo Zegna N.V. Ordinary Shares,$7.85,-0.10,-1.258%,"1,982,752,050"
1877,PLTK,Playtika Holding Corp. Common Stock,$5.28,0.01,0.19%,"1,981,693,924"
1878,NYMTN,"New York Mortgage Trust, Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",$21.83,0.28,1.299%,"1,977,087,324"
1879,TGI,"Triumph Group, Inc. Common Stock",$25.50,0.10,0.394%,"1,973,901,603"
1880,OI,"O-I Glass, Inc. Common Stock",$12.81,0.15,1.185%,"1,973,604,931"
1881,CXM,"Sprinklr, Inc. Class A Common Stock",$7.71,0.02,0.26%,"1,972,884,021"
1882,AAP,Advance Auto Parts Inc.,$32.97,0.25,0.764%,"1,971,373,430"
1883,ENOV,Enovis Corporation Common Stock,$34.60,0.01,0.029%,"1,970,935,024"
1884,HUBG,"Hub Group, Inc. Class A Common Stock",$31.99,0.40,1.266%,"1,967,473,036"
1885,STRA,"Strategic Education, Inc. Common Stock",$81.29,-0.29,-0.355%,"1,964,229,698"
1886,NYMTL,"New York Mortgage Trust, Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",$21.62,0.30,1.407%,"1,958,068,161"
1887,HP,"Helmerich & Payne, Inc. Common Stock",$19.64,0.75,3.97%,"1,951,795,861"
1888,CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,$29.79,0.22,0.744%,"1,951,453,500"
1889,BHC,Bausch Health Companies Inc. Common Stock,$5.30,UNCH,--,"1,950,049,654"
1890,ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,$16.37,0.04,0.245%,"1,949,595,627"
1891,PII,Polaris Inc. Common Stock,$34.72,0.76,2.238%,"1,947,787,868"
1892,PGNY,"Progyny, Inc. Common Stock",$22.80,-0.04,-0.175%,"1,947,422,852"
1893,NMRK,"Newmark Group, Inc. Class A Common Stock",$10.79,-0.20,-1.82%,"1,947,193,806"
1894,CVI,CVR Energy Inc. Common Stock,$19.35,0.49,2.598%,"1,945,267,091"
1895,EFSC,Enterprise Financial Services Corporation Common Stock,$52.39,0.37,0.711%,"1,937,349,509"
1896,OZKAP,Bank OZK 4.625% Series A Non-Cumulative Perpetual Preferred Stock,$17.08,0.2591,1.54%,"1,932,365,135"
1897,TARS,"Tarsus Pharmaceuticals, Inc. Common Stock",$50.30,-1.61,-3.102%,"1,930,372,053"
1898,ABLLL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",$25.82,-0.01,-0.039%,"1,927,497,780"
1899,SJW,SJW Group Common Stock,$56.34,-0.40,-0.705%,"1,925,867,234"
1900,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",$20.56,-0.20,-0.963%,"1,925,679,124"
1901,LBRT,Liberty Energy Inc. Class A common stock,$11.89,0.39,3.391%,"1,925,635,604"
1902,TDW,Tidewater Inc. Common Stock,$37.37,1.18,3.261%,"1,923,442,271"
1903,AIN,Albany International Corporation Common Stock,$62.21,-3.55,-5.398%,"1,922,289,000"
1904,ENR,"Energizer Holdings, Inc. Common Stock",$26.62,-0.42,-1.553%,"1,921,749,336"
1905,PBF,PBF Energy Inc. Class A Common Stock,$16.66,-0.52,-3.027%,"1,921,122,793"
1906,STNG,Scorpio Tankers Inc. Common Shares,$38.35,0.66,1.751%,"1,914,299,386"
1907,COCO,"The Vita Coco Company, Inc. Common Stock",$33.47,0.42,1.271%,"1,907,327,880"
1908,AGM,Federal Agricultural Mortgage Corporation Common Stock,$175.10,-0.23,-0.131%,"1,907,113,032"
1909,CASH,"Pathward Financial, Inc. Common Stock",$79.90,0.53,0.668%,"1,905,257,527"
1910,HTH,Hilltop Holdings Inc.,$29.66,0.13,0.44%,"1,902,841,868"
1911,FIVN,"Five9, Inc. Common Stock",$25.08,-0.06,-0.239%,"1,901,303,815"
1912,VCEL,Vericel Corporation Common Stock,$37.92,-0.10,-0.263%,"1,894,846,019"
1913,JANX,"Janux Therapeutics, Inc. Common Stock",$32.05,-1.15,-3.464%,"1,894,319,961"
1914,UZF,United States Cellular Corporation 5.500% Senior Notes due 2070,$22.285,0.105,0.473%,"1,894,225,000"
1915,ADUS,Addus HomeCare Corporation Common Stock,$103.92,-0.63,-0.603%,"1,888,524,131"
1916,PNFPP,"Pinnacle Financial Partners, Inc. Depositary shares of Pinnacle Financial Partners, Inc., each representing a 1/40th Interest in a share of its 6.75% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series B",$24.40,UNCH,--,"1,887,748,236"
1917,QDEL,QuidelOrtho Corporation Common Stock,$27.88,0.09,0.324%,"1,880,409,647"
1918,OII,"Oceaneering International, Inc. Common Stock",$18.65,0.90,5.07%,"1,876,087,947"
1919,KWR,Quaker Houghton Common Stock,$106.01,0.07,0.066%,"1,873,372,041"
1920,OSW,OneSpaWorld Holdings Limited Common Shares,$17.85,1.15,6.886%,"1,868,310,359"
1921,FRA,Blackrock Floating Rate Income Strategies Fund Inc Common Stock,$12.55,0.07,0.561%,"1,866,969,011"
1922,PINC,"Premier, Inc. Class A Common Stock",$20.41,0.06,0.295%,"1,863,583,973"
1923,BWSN,"Babcock & Wilcox Enterprises, Inc. 8.125% Senior Notes due 2026",$18.88,0.06,0.319%,"1,857,867,973"
1924,UZE,United States Cellular Corporation 5.500% Senior Notes due 2070,$21.85,-0.11,-0.501%,"1,857,250,000"
1925,OFG,OFG Bancorp Common Stock,$40.88,1.53,3.888%,"1,855,704,594"
1926,AEO,"American Eagle Outfitters, Inc. Common Stock",$10.69,0.16,1.519%,"1,844,175,750"
1927,TVTX,"Travere Therapeutics, Inc. Common Stock",$20.76,-0.05,-0.24%,"1,842,238,788"
1928,CDLR,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),$20.91,0.04,0.192%,"1,834,630,770"
1929,EXTR,"Extreme Networks, Inc. Common Stock",$13.81,0.65,4.939%,"1,833,350,748"
1930,FLOC,Flowco Holdings Inc. Class A Common Stock,$20.19,0.87,4.503%,"1,828,096,726"
1931,FSM,Fortuna Mining Corp. Common Shares,$5.95,-0.30,-4.80%,"1,823,842,725"
1932,CC,Chemours Company (The) Common Stock,$12.20,-0.18,-1.454%,"1,823,177,614"
1933,UMBFP,"UMB Financial Corporation Depositary Shares, each representing a 1/400th of 7.00% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock",$25.11,-0.03,-0.119%,"1,822,764,178"
1934,BCRX,"BioCryst Pharmaceuticals, Inc. Common Stock",$8.71,-0.14,-1.582%,"1,820,041,774"
1935,SDGR,"Schrodinger, Inc. Common Stock",$24.88,-0.75,-2.926%,"1,817,195,218"
1936,CRTO,Criteo S.A. American Depositary Shares,$33.425,-0.635,-1.864%,"1,816,431,354"
1937,DIOD,Diodes Incorporated Common Stock,$39.19,0.79,2.057%,"1,815,826,717"
1938,ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,$15.03,-0.32,-2.085%,"1,810,476,375"
1939,STC,Stewart Information Services Corporation Common Stock,$65.06,-0.42,-0.641%,"1,809,362,776"
1940,SUPN,"Supernus Pharmaceuticals, Inc. Common Stock",$32.45,-0.03,-0.092%,"1,808,863,433"
1941,UPWK,Upwork Inc. Common Stock,$13.31,0.16,1.217%,"1,802,967,476"
1942,IQ,"iQIYI, Inc. American Depositary Shares",$1.87,0.03,1.63%,"1,800,733,046"
1943,FIHL,Fidelis Insurance Holdings Limited Common Shares,$16.11,-0.24,-1.468%,"1,800,668,491"
1944,JSM,"Navient Corporation 6% Senior Notes due December 15, 2043",$17.58,-0.02,-0.114%,"1,798,017,407"
1945,CNTA,Centessa Pharmaceuticals plc American Depositary Shares,$13.50,-0.21,-1.532%,"1,797,988,712"
1946,PDO,PIMCO Dynamic Income Opportunities Fund Common Shares of Beneficial Interest,$13.58,0.04,0.295%,"1,797,509,815"
1947,ARDT,"Ardent Health Partners, Inc. Common Stock",$12.59,-0.14,-1.10%,"1,797,222,664"
1948,VSH,"Vishay Intertechnology, Inc. Common Stock",$13.25,0.26,2.002%,"1,796,262,869"
1949,AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",$21.35,-0.10,-0.466%,"1,793,017,963"
1950,IDYA,"IDEAYA Biosciences, Inc. Common Stock",$20.47,0.34,1.689%,"1,791,890,394"
1951,SOC,Sable Offshore Corp. Common Stock,$20.01,1.35,7.235%,"1,789,161,294"
1952,BPOPM,"Popular, Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",$25.70,-0.07,-0.272%,"1,788,892,858"
1953,TRIP,"TripAdvisor, Inc. Common Stock",$12.69,0.24,1.928%,"1,781,444,141"
1954,VICR,Vicor Corporation Common Stock,$39.41,-0.495,-1.24%,"1,780,640,867"
1955,GDRX,"GoodRx Holdings, Inc. Class A Common Stock",$4.64,0.01,0.216%,"1,779,948,767"
1956,EVCM,EverCommerce Inc. Common Stock,$9.68,-0.08,-0.82%,"1,775,208,947"
1957,CPRI,Capri Holdings Limited Ordinary Shares,$15.05,0.01,0.066%,"1,774,542,415"
1958,AG,First Majestic Silver Corp. Ordinary Shares (Canada),$5.88,-0.38,-6.07%,"1,773,449,489"
1959,TWFG,"TWFG, Inc. Class A Common Stock",$31.62,-0.06,-0.189%,"1,773,108,701"
1960,AGIO,"Agios Pharmaceuticals, Inc. Common Stock",$30.94,1.25,4.21%,"1,772,743,407"
1961,NIC,Nicolet Bankshares Inc. Common Stock,$117.56,0.75,0.642%,"1,772,709,929"
1962,ARWR,"Arrowhead Pharmaceuticals, Inc. Common Stock",$14.04,0.15,1.08%,"1,770,417,478"
1963,ASTH,Astrana Health Inc. Common Stock,$31.44,0.27,0.866%,"1,768,578,694"
1964,CNMD,CONMED Corporation Common Stock,$57.19,8.08,16.453%,"1,767,676,274"
1965,GLPG,Galapagos NV American Depositary Shares,$26.78,-0.14,-0.52%,"1,764,723,561"
1966,HE,"Hawaiian Electric Industries, Inc. Common Stock",$10.23,-0.27,-2.571%,"1,764,323,170"
1967,SEZL,Sezzle Inc. Common Stock,$52.03,0.08,0.154%,"1,761,403,745"
1968,MTRN,Materion Corporation,$84.25,1.24,1.494%,"1,749,469,280"
1969,WGS,GeneDx Holdings Corp. Class A Common Stock,$62.32,-4.53,-6.776%,"1,749,214,836"
1970,NTB,Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares,$40.62,0.44,1.095%,"1,746,660,000"
1971,BKT,BlackRock Income Trust Inc. (The),$11.71,UNCH,--,"1,742,008,535"
1972,ARQT,"Arcutis Biotherapeutics, Inc. Common Stock",$14.65,-0.26,-1.744%,"1,738,050,143"
1973,GRABW,Grab Holdings Limited Warrant,$0.4265,-0.0135,-3.068%,"1,737,619,886"
1974,CNXN,"PC Connection, Inc. Common Stock",$66.39,4.35,7.012%,"1,736,763,329"
1975,SBLK,Star Bulk Carriers Corp. Common Shares,$14.80,0.06,0.407%,"1,733,487,459"
1976,CSGS,"CSG Systems International, Inc. Common Stock",$60.01,-0.12,-0.20%,"1,730,656,535"
1977,REVG,"REV Group, Inc. Common Stock",$33.47,0.77,2.355%,"1,729,567,773"
1978,RAMP,"LiveRamp Holdings, Inc. Common Stock",$26.28,0.12,0.459%,"1,728,190,933"
1979,NWN,Northwest Natural Holding Company Common Stock,$42.94,-0.16,-0.371%,"1,727,840,975"
1980,AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",$20.56,0.05,0.244%,"1,726,672,099"
1981,GNL,"Global Net Lease, Inc. Common Stock",$7.48,-0.07,-0.927%,"1,726,260,228"
1982,SXI,Standex International Corporation Common Stock,$144.85,3.43,2.425%,"1,723,436,888"
1983,MHNC,"Maiden Holdings North America, Ltd. 7.75% Notes due 2043",$17.40,UNCH,--,"1,723,283,002"
1984,GLP,Global Partners LP Common Units representing Limited Partner Interests,$50.60,-0.68,-1.326%,"1,720,175,488"
1985,KLIC,"Kulicke and Soffa Industries, Inc. Common Stock",$32.22,-0.01,-0.031%,"1,720,005,673"
1986,DHT,"DHT Holdings, Inc.",$10.71,0.02,0.187%,"1,719,575,944"
1987,IRON,"Disc Medicine, Inc. Common Stock",$49.68,0.26,0.526%,"1,717,390,007"
1988,UTZ,Utz Brands Inc Class A Common Stock,$12.14,-1.15,-8.653%,"1,716,721,273"
1989,HRMY,"Harmony Biosciences Holdings, Inc. Common Stock",$29.86,0.39,1.323%,"1,712,339,944"
1990,AVDX,"AvidXchange Holdings, Inc. Common Stock",$8.37,0.24,2.952%,"1,711,173,271"
1991,AESI,Atlas Energy Solutions Inc. Common Stock,$14.05,0.52,3.843%,"1,710,448,208"
1992,FBNC,First Bancorp Common Stock,$41.27,0.81,2.002%,"1,706,898,228"
1993,MGNI,"Magnite, Inc. Common Stock",$11.94,0.05,0.421%,"1,706,839,406"
1994,MIY,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock",$11.47,0.07,0.614%,"1,706,305,542"
1995,DBD,Diebold Nixdorf Incorporated Common stock,$45.37,1.04,2.346%,"1,705,720,720"
1996,SHO,"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",$8.47,0.13,1.559%,"1,702,631,752"
1997,RZC,"Reinsurance Group of America, Incorporated 7.125% Fixed-Rate Reset Subordinated Debentures due 2052",$25.77,0.09,0.35%,"1,701,449,922"
1998,DNOW,DNOW Inc. Common Stock,$16.09,0.22,1.386%,"1,700,510,427"
1999,CLOV,"Clover Health Investments, Corp. Class A Common Stock",$3.32,-0.08,-2.353%,"1,696,210,271"
2000,SIMO,Silicon Motion Technology Corporation American Depositary Shares,$50.33,0.83,1.677%,"1,695,195,935"
2001,MHD,"Blackrock MuniHoldings Fund, Inc. Common Stock",$11.38,0.07,0.619%,"1,692,916,920"
2002,HMN,Horace Mann Educators Corporation Common Stock,$41.38,-0.16,-0.385%,"1,691,282,574"
2003,ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,$15.64,0.28,1.823%,"1,691,231,400"
2004,VNET,"VNET Group, Inc. American Depositary Shares",$6.27,-0.02,-0.318%,"1,686,792,399"
2005,BGR,BlackRock Energy and Resources Trust,$12.44,0.11,0.892%,"1,686,692,253"
2006,ROCK,"Gibraltar Industries, Inc. Common Stock",$55.53,2.58,4.873%,"1,685,659,573"
2007,PLUS,ePlus inc. Common Stock,$63.01,0.65,1.042%,"1,677,100,624"
2008,NN,NextNav Inc. Common Stock,$12.755,0.335,2.697%,"1,676,667,288"
2009,WTFCP,"Wintrust Financial Corporation Depositary Shares, Each Representing a 1/1,000th Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series E",$25.12,0.01,0.04%,"1,675,699,961"
2010,WSBCP,"WesBanco, Inc. Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.75% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",$25.007,0.2189,0.883%,"1,674,041,400"
2011,MTX,Minerals Technologies Inc. Common Stock,$52.69,1.10,2.132%,"1,671,967,932"
2012,INSW,"International Seaways, Inc. Common Stock",$33.96,UNCH,--,"1,670,643,794"
2013,NYMTZ,"New York Mortgage Trust, Inc. 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",$18.40,0.05,0.272%,"1,666,440,988"
2014,GEL,"Genesis Energy, L.P. Common Units",$13.60,-0.14,-1.019%,"1,665,514,725"
2015,WTFCM,"Wintrust Financial Corporation Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series D",$24.94,-0.07,-0.28%,"1,663,692,557"
2016,MQY,"Blackrock MuniYield Quality Fund, Inc. Common Stock",$11.17,0.03,0.269%,"1,661,676,801"
2017,CCS,"Century Communities, Inc. Common Stock",$54.39,-0.15,-0.275%,"1,661,437,352"
