,Ticker,Name,Last Sale,Net Change,Percent Change,Market Cap
64,BKNG,Booking Holdings Inc. Common Stock,"$5,101.43",2.15,0.042%,"166,002,256,483"
65,DIS,Walt Disney Company (The) Common Stock,$90.81,-0.14,-0.154%,"164,165,306,831"
66,PGR,Progressive Corporation (The) Common Stock,$277.66,-4.08,-1.448%,"162,766,424,151"
67,TBB,AT&T Inc. 5.350% Global Notes due 2066,$22.55,-0.14,-0.617%,"162,260,829,114"
68,ADBE,Adobe Inc. Common Stock,$374.63,-0.35,-0.093%,"159,817,158,000"
69,TMO,Thermo Fisher Scientific Inc Common Stock,$419.89,-9.11,-2.124%,"158,408,197,710"
70,AMD,"Advanced Micro Devices, Inc. Common Stock",$96.65,-0.70,-0.719%,"156,619,195,027"
71,UL,Unilever PLC Common Stock,$62.99,-0.56,-0.881%,"155,244,865,002"
72,AMGN,Amgen Inc. Common Stock,$283.78,-7.14,-2.454%,"152,574,494,079"
73,SONY,Sony Group Corporation American Depositary Shares,$25.28,-0.72,-2.769%,"152,415,012,208"
74,BSX,Boston Scientific Corporation Common Stock,$103.19,0.32,0.311%,"152,285,542,552"
75,PDD,PDD Holdings Inc. American Depositary Shares,$105.97,0.40,0.379%,"150,439,935,578"
76,CAT,"Caterpillar, Inc. Common Stock",$313.96,4.69,1.516%,"150,051,538,255"
77,QCOM,QUALCOMM Incorporated Common Stock,$135.21,-13.25,-8.925%,"149,542,260,000"
78,SCHW,Charles Schwab Corporation (The) Common Stock,$81.51,0.11,0.135%,"147,823,900,374"
79,MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$12.37,-0.27,-2.136%,"145,065,817,448"
80,TXN,Texas Instruments Incorporated Common Stock,$158.26,-1.79,-1.118%,"143,774,791,223"
81,SYK,Stryker Corporation Common Stock,$373.99,0.07,0.019%,"142,706,776,211"
82,TJX,"TJX Companies, Inc. (The) Common Stock",$127.63,-1.05,-0.816%,"142,575,535,156"
83,BLK,"BlackRock, Inc. Common Stock",$916.14,1.88,0.206%,"142,233,889,270"
84,DHR,Danaher Corporation Common Stock,$196.71,-2.62,-1.314%,"140,779,365,836"
85,BA,Boeing Company (The) Common Stock,$182.89,-0.35,-0.191%,"137,900,061,140"
86,SNY,Sanofi ADS,$54.10,-0.85,-1.547%,"136,669,878,412"
87,NEE,"NextEra Energy, Inc. Common Stock",$66.05,-0.83,-1.241%,"135,972,584,617"
88,PFE,"Pfizer, Inc. Common Stock",$23.93,-0.48,-1.966%,"135,619,456,107"
89,HON,Honeywell International Inc. Common Stock,$210.74,0.24,0.114%,"135,438,996,243"
90,DE,Deere & Company Common Stock,$480.02,16.46,3.551%,"130,284,113,239"
91,TTE,TotalEnergies SE,$57.77,0.92,1.618%,"129,066,866,239"
92,GILD,"Gilead Sciences, Inc. Common Stock",$103.25,-3.29,-3.088%,"128,563,058,377"
93,C,"Citigroup, Inc. Common Stock",$68.14,-0.24,-0.351%,"128,408,436,605"
94,VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$498.86,-10.64,-2.088%,"128,102,194,049"
95,UNP,Union Pacific Corporation Common Stock,$214.08,-1.58,-0.733%,"127,907,578,589"
96,SHOP,Shopify Inc. Class A Subordinate Voting Shares,$97.01,2.01,2.116%,"125,610,559,405"
97,LOW,"Lowe's Companies, Inc. Common Stock",$222.32,-1.24,-0.555%,"124,433,957,973"
98,PANW,"Palo Alto Networks, Inc. Common Stock",$186.27,-0.66,-0.353%,"123,329,367,000"
99,SPOT,Spotify Technology S.A. Ordinary Shares,$602.26,-11.72,-1.909%,"122,767,333,764"
100,ADP,"Automatic Data Processing, Inc. Common Stock",$298.69,-1.91,-0.635%,"121,528,267,030"
101,BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$47.71,0.16,0.336%,"121,037,912,840"
102,AMAT,"Applied Materials, Inc. Common Stock",$148.96,-1.75,-1.161%,"121,021,188,867"
103,ARM,Arm Holdings plc American Depositary Shares,$115.40,1.35,1.184%,"120,054,139,354"
104,YMM,Full Truck Alliance Co. Ltd. American Depositary Shares (each representing 20 Class A Ordinary Shares),$11.31,-0.05,-0.44%,"118,290,633,228"
105,ETN,"Eaton Corporation, PLC Ordinary Shares",$301.66,7.29,2.476%,"118,250,720,000"
106,IBN,ICICI Bank Limited Common Stock,$33.52,-0.04,-0.119%,"117,926,517,517"
107,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$65.02,-0.79,-1.20%,"116,853,847,965"
108,MELI,"MercadoLibre, Inc. Common Stock","$2,294.52",-36.33,-1.559%,"116,326,140,885"
109,COP,ConocoPhillips Common Stock,$90.65,1.53,1.717%,"115,341,265,583"
110,CB,Chubb Limited Common Stock,$283.29,-2.79,-0.975%,"113,521,585,536"
111,LMT,Lockheed Martin Corporation Common Stock,$477.72,-0.03,-0.006%,"111,927,862,667"
112,RACE,Ferrari N.V. Common Shares,$460.12,-1.66,-0.359%,"111,522,599,104"
113,ANET,"Arista Networks, Inc. Common Stock",$87.84,5.57,6.77%,"110,777,008,833"
114,TD,Toronto Dominion Bank (The) Common Stock,$63.14,-0.64,-1.003%,"110,501,314,000"
115,MMC,"Marsh & McLennan Companies, Inc. Common Stock",$224.00,-1.47,-0.652%,"110,371,018,240"
