,Ticker,Share Issued,Total Assets,Net PPE,Accounts Receivable,Cash And Cash Equivalents,Total Debt,Accounts Payable,Stockholders Equity,Retained Earnings,Working Capital,Total Revenue,Operating Income,EBITDA,Net Income,Capital Expenditure,Free Cash Flow
116,MAN,118853620.0,8201000000.0,479700000.0,4297200000.0,509400000.0,1231800000.0,2612900000.0,2125200000.0,3812300000.0,533200000.0,4399700000.0,68200000.0,92500000.0,22500000.0,-11300000.0,236300000.0
117,OVBC,5490995.0,1503412000.0,22253000.0,4805000.0,83107000.0,49264000.0,,150328000.0,121693000.0,,16990000.0,,,2515000.0,-233000.0,2157000.0
118,GFS,552912823.0,16799000000.0,8260000000.0,906000000.0,2192000000.0,2320000000.0,406000000.0,10776000000.0,-13266000000.0,3372000000.0,1830000000.0,235000000.0,-179000000.0,-730000000.0,-135000000.0,322000000.0
119,PAGP,197465699.0,27756000000.0,15756000000.0,3901000000.0,349000000.0,7934000000.0,3881000000.0,0.0,,-148000000.0,12402000000.0,246000000.0,516000000.0,-11000000.0,-166000000.0,560000000.0
120,MWYN,17004004.0,12606903.0,4386339.0,1060255.0,231834.0,4546194.0,3610704.0,2401965.0,1935.0,1169421.0,2704760.0,2049.0,352973.0,23418.0,-55024.0,346805.0
121,WLK,134651380.0,20750000000.0,9434000000.0,1339000000.0,2919000000.0,5275000000.0,806000000.0,10527000000.0,10481000000.0,3995000000.0,2843000000.0,74000000.0,416000000.0,7000000.0,-285000000.0,149000000.0
122,XELB,23581290.0,53999000.0,4125000.0,2908000.0,242000.0,11363000.0,2602000.0,36919000.0,-69161000.0,-3258000.0,1912000.0,-2231000.0,-8168000.0,-9213000.0,-8000.0,-432000.0
123,TNFA,2755067.0,21421084.0,10579.0,,173154.0,10579.0,2515421.0,14719744.0,-129138286.0,2710626.0,0.0,-2188883.0,-2188883.0,-2064254.0,,-764115.0
124,ALUR,2710607.0,32813000.0,4548000.0,7134000.0,15379000.0,37923000.0,6572000.0,-77978000.0,-238947000.0,8293000.0,5591000.0,-17115000.0,-19841000.0,-20568000.0,,-13274000.0
125,TEO,2153688011.0,10941752000000.0,4821827000000.0,390655000000.0,318319000000.0,3092224000000.0,444687000000.0,5425003000000.0,1012404000000.0,-1203553000000.0,1285255000000.0,121593000000.0,473471000000.0,73765000000.0,-158411000000.0,174079000000.0
